,city,country,Description
47,Miami,USA,"Beautiful beaches and art deco delights are just some of Miami’s many charms – there's also the blazing nightlife, tropical gardens, lively arts scene and sizzling cuisine.
Architectural Jewel Box
Even if there was no beach, Miami would still have undeniable allure. The gorgeous 1930s hotels lining Ocean Dr are part of the world’s greatest collection of art deco buildings. Tropical motifs, whimsical nautical elements and those iconic pastel shades create a cinematic backdrop for exploring the streets of Miami Beach. Of course, you don’t have to see these architectural beauties at arm’s length. Lavishly restored, Miami’s art deco and mid-century modern hotels are also the playground for locals and out-of-towners alike, with sunny poolside terraces, artfully designed dining rooms and plush nightclubs.
Creativity, Miami Style
Chalk it up to Miami’s diverse population, or perhaps its love of always being on the cutting edge. Whatever the reason, creativity is one of the great hallmarks of this city. From art and design to global cuisine, Miami remains ever on the search for bold new ideas, which manifest themselves in surprising ways. You’ll find brilliantly inventive chefs blending Eastern and Western cooking styles, sustainably designed buildings inspired by South Florida ecosystems and open-air galleries where museum-quality artwork covers once-derelict warehouses. The one constant in Miami is its uncanny ability to astonish.
Nights in the City
When the sun sets and the brilliant colors of a South Florida sunset fill the sky, that’s when the best part of the day begins for Miami’s party people. By moonlight, all the magic of the city unfolds, in its salsa-filled dance halls, swanky candlelit lounges, and rooftop bars with sweeping views over Biscayne Bay and the glittering city skyline. While there’s plenty of bling on display, Miami has something for all, from backyard bars full of indie rockers to hidden dens of debauchery concealed behind neon-lit taco stands.
The Great Outdoors
Few cities are as blessed as Miami when it comes to natural beauty. White sandy beaches are lapped by teal waters – perfect for sunrise strolls along peaceful stretches of Mid-Beach to scenic paddles in search of manatees off Virginia Key. You can look for colorful bird species while walking the trails of Oleta River State Park, or go to any of the tropical gardens across the city. With year-round sunshine, and a love for celebration, the open air is also where Miami’s biggest parties unfold – whether at massive music and dance festivals or the neighborhood fiestas that pack Miami’s calendar."
48,Milan,Italy,"Milan is Italy’s city of the future, a fast-paced metropolis where money talks, creativity is big business and looking good is an art form.
Cultural Legacy
Ruled by the Caesars, Napoléon, the Austro-Hungarians and Mussolini, Milan has an ancient and fascinating history. After the unification of Italy in 1861, it also became an important industrial and cultural centre – a title it still holds today. While it may not have the historic attractions of other Italian cities, it holds its own with art collections old and new, which mark the genius of old masters and provoke new conversations about where the world is headed. Prestigious nights at La Scala, an illustrious literary heritage and a vibrant music scene also do much to debunk the city's workaholic image.
A Modern Miracle
Since Leonardo da Vinci broke all the rules in his stunning Last Supper, the indefatigably inventive Milanese seem to have skipped straight from the Renaissance to the 1900s. Not only is Milan a treasure trove of 20th-century art, but art deco and rationalist architecture abound. Today the city leads the way with the largest post-war re-development in Italy, impressive, sustainable architecture and a futuristic skyline modelled by Zaha Hadid, Daniel Libeskind and César Pelli. The city is also burgeoning into a hi-tech hub, home to start-ups galore and the likes of Google, Microsoft, Alibaba and Apple.
Living by Design
Though Italian design is world renowned, its roots lie in 1930s Milan – seeing it in a home context offers fresh appreciation. A visit to the Triennale design museum is a wonderful way to pay homage to the work of Italy’s best and brightest. In addition, Milan is home to all the major design showrooms and an endless round of trade fairs, including Salone Internazionale del Mobile and its ever-popular sidekick the free Fuorisalone. Italian fashion houses are also branching out into spas, bars, hotels, galleries and cultural centres all over Milan, which means you can get your style fix pretty much everywhere.
Buon Appetito
Cucina povera (poor man's cuisine) may be the cry of the south, but Milanese cooking is the product of a rich urban culture. Just note the golden hue of its quintessential dishes: cotoletta (burnished, buttery veal) and saffron risotto. It was in powerful commercial cities such as Milan that some of Italy’s great cuisines were born, marrying Mediterranean fruits, spices and herbs with cooking methods, pastry techniques and eating styles from France and central Europe. Even today Milan continues to push Italy’s culinary boundaries, making sushi and dim sum its own, and holding the highest number of Michelin stars in the country."
49,Moscow,Russia,"During any season, at any hour of the day, Moscow thrills visitors with its artistry, history and majesty.Kremlin & Red SquareThe very founding site of the city (and arguably, the country), the Kremlin and Red Square are still at the heart of Moscow – historically, geographically and spiritually. Feel the weight of this significance as you wander within the walls of the ancient fortress, marvel at the mind-boggling magnificence of St Basil's Cathedral and pay your respects to the revered leader of a now-defunct state. Moscow will move you. It will tantalise your senses, soothe your spirit and boggle your mind – and it all starts right here at the Kremlin and Red Square.Communist HistoryThe remains of the Soviet state are scattered all around the city. Monuments remember fallen heroes and victorious battles, while museums attempt to analyse and synthesise the past. See Lenin and Stalin – off their pedestals – at the whimsical Art Muzeon. Step into the socialist-realist fantasy at VDNKh. Descend into the depths of the Soviet system at Bunker-42 Cold War Museum. Ride the museum-like metro and remember the millions who suffered at the Gulag History Museum. Nowadays, retro clubs and cafes give their guests a taste of the Soviet experience. You can even try your hand at Soviet-era arcade games.Performing ArtsWhat is more thrilling than watching a ballerina defy gravity, leaping across the stage at the glittering Bolshoi Theatre? Or feeling the force of Tchaikovsky's 1812 Overture, just a few blocks away from where it premiered more than a century ago? Or oohing and aahing as circus performers soar under the big tent? The classical performing arts in Moscow are still among the best in the world. Nowadays, even the most traditional theatres are experimenting with innovative arrangements, reviving lost favourites and hosting world premieres. Whether you appreciate the classics or prefer the contemporary, the capital's performing arts will impress.Orthodoxy & ArchitectureAt nearly every turn in Moscow, you'll see golden domes peeking out over the rooftops and hear church bells peeling through the streets, which are dotted with some 600 churches – many of which are glittering after recent renovations. There are colourful hidden gems, historic fortresses and gargantuan cathedrals. The exteriors are adorned with stone carvings and glittering domes; interiors are packed with ancient icons, swirling incense and faithful worshippers. For more than a millennium, Orthodoxy has helped to define the Russian nation, a significance that is palpable in these atmospheric spiritual places."
50,mumbai-bombay,India,"Mumbai, formerly Bombay, is big. It’s full of dreamers and hard-labourers, starlets and gangsters, stray dogs and exotic birds, artists and servants, fisherfolk and crorepatis (millionaires), and lots and lots of people. It has India’s most prolific film industry, some of Asia’s biggest slums (as well as the world’s most expensive home) and the largest tropical forest in an urban zone. Mumbai is India’s financial powerhouse, fashion epicentre and a pulse point of religious tension.
If Mumbai is your introduction to India, prepare yourself. The city isn’t a threatening place but its furious energy, limited (but improving) public transport and punishing pollution make it challenging for visitors. The heart of the city contains some of the most ornate colonial-era architecture on the planet, but explore a little more and you’ll uncover unique bazaars, hidden temples, hipster enclaves and India’s premier restaurants and nightlife."
51,Munich,Germany,"Tall tankards and high-tech cars, edgy art and Lederhosen – Munich is a city where traditional and modern sit side by side like few places on earth.Mine's a MassBeer has been part of Munich life for at least seven centuries and the brewing tradition is very much alive and kicking today. Nowhere else in Europe has a beer tradition quite like the Bavarian capital with six mammoth breweries pumping out world-class suds to hundreds of beer gardens and beer halls. And the climax to the Munich beer year is, of course, the famous Oktoberfest, attended by over six million people. Germany’s ‘purity law’ guarantees there’s nothing in your Mass (1L tankard) that shouldn’t be, so if you can lift the thing – ‘Prost!’ (Cheers!)Teutonic Treasure TroveMunich has long been known as the ‘city of art and beer’, so before you head off to the pub, take some time to savour the local art scene. The Kunstareal, Munich’s art quarter, is the place to start, with four major venues displaying everything from Dutch masters to 1960s design. The city also boasts some world-class museums focusing on topics as diverse as Oktoberfest, porcelain and BMW cars. And if that weren't enough, there are still royal palaces to explore – the legacy of 700 years of rule by a single family, the Wittelsbachs.Well-Heeled Well-BeingThe locals have a word for it – Gemütlichkeit – that untranslatable intermingling of cosiness, well-being and laid-back attitude. In Munich you will sense it most under the fairy lights of a summer beer garden, people-watching in the English Garden and behind the wheel of a BMW heading south. It may be just the local character, but a large share of Gemütlichkeit must come from the fact that the Bavarian capital is one of the most affluent cities on the planet, it’s economy larger than most small countries, its infrastructure well-tended.Bizarre BavariaMunich’s various quirks, the things that make the city the place it is, might be what stick in the memory most. Whether it be the inebriated oompah band, that special knife for eating monster radishes, the Bavarians outrageous dialect, the mad hat traditions of the Oktoberfest or the surfers on the Eisbach wave – you’re sure to discover some freakish aspect of Munich life every day. And then there is the local garb – nowhere else in central Europe do the locals don their traditional costume – the famous Lederhosen and Dirndl – as readily as the Münchners, so why not join them?"
52,Mykonos,Greece,"Mykonos is the great glamour island of Greece and flaunts its sizzling St-Tropez-meets-Ibiza style and party-hard reputation. The high-season mix of hedonistic holidaymakers, cruise-ship crowds, buff gay men and posturing fashionistas throngs Mykonos Town (aka Hora), a gorgeous whitewashed Cycladic maze, delighting in its cubist charms and its chichi cafe-bar-boutique scene.The island is maxed out with cashed-up (or spendthrift) visitors, hip hotels, beach bars and restaurants. There are a few provisos about visiting here. Come only if you are prepared to pay. And are intent on jostling with street crowds. And sitting bum cheek to cheek with oiled-up loungers at the packed main beaches. Oh, and partying relentlessly. Out of season, devoid of gloss and preening celebrities, Hora basically closes, with nothing but the occasional person and pelican wandering the empty streets.Mykonos is the jumping-off point for the archaeological site of the nearby island of Delos."
53,Naples Italy,Italy,"Naples is raw, high-octane energy, a place of soul-stirring art and panoramas, spontaneous conversations and unexpected, inimitable elegance. Welcome to Italy's most unlikely masterpiece.Art & ArchitectureNaples' wealth of cultural assets is extraordinary. You'll find two royal palaces, three castles, and ancient ruins that include some of Christianity's oldest frescoes. The city's Museo Archeologico Nazionale claims the world's finest collection of Pompeiian frescoes and mosaics, while its Cappella Sansevero holds Italy's most extraordinary marble sculpture. You'll find Caravaggio masterpieces in the Pio Monte della Misericordia, Palazzo Zevallos Stigliano and Museo di Capodimonte, the latter palace home to countless masterpieces. Of course, we could also mention all those frescoed baroque cupolas, but that would just be boasting.History & LegendNaples' millennia-old backstory could bust a bookshelf. Settled by the Greeks and conquered by the Romans, it's a nail-biting tale where myth and fact entwine into one bewitching whole. Did Queen Joan II really throw her lovers to a peckish crocodile in the Castel Nuovo? Do the skulls inside the Cimitero delle Fontanelle have esoteric powers? And just how did alchemist prince Raimondo di Sangro create those inexplicably perfect arterial systems inside his Cappella Sansevero? Curious tales and unsolved mysteries seep out of every Neapolitan stone, casting a strange, hypnotic spell.Glorious FoodBlessed with rich volcanic soils, a bountiful sea, and countless generations of culinary know-how, the Naples region is one of Italy's epicurean heavyweights. It's here that you'll find the country's best pizza, pasta and espresso, its most appetising street markets, not to mention some of its most celebrated dishes. From garlicky spaghetti alle vongole (spaghetti with clams) to sultry ragù (meat and tomato sauce) and silky parmigiana di melanzane (eggplant parmigiana), the food on these streets is all about intensity and pleasure. After all, life is too short for diets, so follow the locals' lead and succumb to your gluttonous whims.Idiosyncratic ShoppingIn Naples, retail therapy is as individualistic as the city itself. Here, global chains still play second fiddle to family-run businesses and artisan workshops. Neapolitan tailors have long lured foreign dandies with their impeccable suits, shirts and ties, while the city's handmade leather gloves are sought by the global fashion royalty. Skinny streets and weathered courtyards are dotted with a plethora of workshops and boutiques, selling everything from butter-soft satchels, organic ceramics and meticulous pastori (nativity-scene figurines), to rare Neapolitan lithographs and gourmet local food and wine. Leave plenty of room in your suitcase."
54,Nice,France,"With its mix of real-city grit, old-world opulence, year-round sunshine, vibrant street life and stunning seaside location, no place in France compares with Nice.Mediterranean MagnetismBefore everything else, there was the sea, and the Mediterranean climate – the twin factors that made Nice a tourist magnet as early as the 1700s. Look around and you’ll find the same elemental attractions that drew Europe's belle-époque aristocrats to promenade along the waterfront in horse-drawn carriages. Even now, nothing compares to the simple joy of a balmy beach day interspersed with a spot of people-watching astride the Promenade des Anglais' famous blue chairs. Whether you're skating, kayaking, swimming, sprawled on a beach lounger or transfixed by sunset over the ever-present Med, it's all still happening by the water.The Italian InfluenceFor any lover of French and Italian culture, Nice is the perfect hybrid. Long affiliated with Piedmont and Liguria to the east, Savoy to the north and Sardinia to the south, this city only joined France in 1860 and has always kept one foot in Italy. The Italian influence remains palpable everywhere, in Vieux Nice's tall-shuttered, ochre-hued buildings that look airlifted straight in from Portofino, in the fresh pasta shops on every corner and even in the football cheer Issa Nissa! (Go Nice!), shouted in the local Nissart dialect that’s been coloured by Ligurian Italian as much as Occitan French.City of ArtistsThe Côte d'Azur has ensnared many a visitor with the beauty of its light. Not least Henri Matisse, who came here to convalesce from bronchitis. When the sun finally emerged after a month of wintry drizzle, Matisse was so smitten that he made Nice his home for the next 37 years. Chagall, Picasso and Renoir also fell in love with this place, and Nice was later home to the influential avant-garde École de Nice. Art museums abound throughout the region, but Nice's three superstars – the Musées Matisse, Chagall and d’Art Moderne – are reason enough to justify an aesthetic pilgrimage here.Eating Niçois-StyleBring your appetite when you come to Nice. This city is meant for epicures. It all starts at Vieux Nice’s Saleya market, where small producers from the Alpine foothills bring in a bounty of fresh produce, and top chefs from surrounding restaurants shop right beside tourists. The city celebrates its uniqueness with street snacks like socca (chickpea pancakes), pissaladière (caramelised onion tart) or tourte de blettes (chard, raisin and pine nut pie), while its countless cosy bistros serve everything from hearty Provençal beef stew to true salade niçoise to pasta with pistou, and from fresh lemon tart to vegan cheesecake."
55,Odesa,Zürich,Error
56,Paris,France,"Paris' monument-lined boulevards, museums, classical bistros and boutiques are enhanced by a new wave of multimedia galleries, creative wine bars, design shops and tech start-ups.
Iconic Architecture
The cloud-piercing, wrought-iron Eiffel Tower, broad Arc de Triomphe guarding the glamorous avenue des Champs-Élysées, flying buttressed Notre Dame cathedral, lamplit bridges spanning the Seine and art nouveau cafes' wicker-chair-lined terraces are enduring Parisian emblems. Despite initial appearances, however, Paris’ cityscape isn’t static: there are some stunning modern and contemporary icons, too, from the inside-out, industrial-style Centre Pompidou to the mur végétal (vertical garden) gracing the Musée du Quai Branly, the glass sails of the Fondation Louis Vuitton contemporary-art centre, and the gleaming steel egg-shaped concert venue La Seine Musicale.
Glorious Food
France’s reputation for its cuisine (the French word for ‘kitchen’) precedes it, and whether you seek a cosy neighbourhood bistro or a triple-Michelin-starred temple to gastronomy, you'll find that every establishment prides itself on exquisite preparation and presentation of quality produce, invariably served with wine. Enticing patisseries, boulangeries (bakeries), fromageries (cheese shops) and crowded, colourful street markets are perfect for putting together a picnic to take to the city’s beautiful parks and gardens. A host of culinary courses – held anywhere from home kitchens to the world’s most prestigious cookery schools – offers instruction for all schedules, abilities and budgets.
Stylish Shopping
The word 'Parisian' is synonymous with style, and fashion shopping is the city’s forte. Paris remains at the forefront of international trends, and browsing emerging and established designer boutiques and flagship haute couture houses is a quintessential part of any visit. You’ll also find hip concept and homewares shops, and resplendent art nouveau department stores, along with a trove of vintage shops and flea markets, atmospheric bookshops and dark-green bouquiniste stalls stocking secondhand titles along the riverbanks, adorable children’s wear and toy shops, art and antique dealers, venerable establishments selling professional cookware, and, of course, gourmet-food and wine shops galore.
Artistic Treasures
With an illustrious artistic pedigree – Renoir, Rodin, Picasso, Monet, Manet, Dalí and Van Gogh are but a few of the masters who have lived and worked here over the years – Paris is one of the world's great art repositories, harbouring treasures from antiquity onwards. In addition to big hitters like the incomparable Louvre, the Musée d’Orsay’s exceptional impressionist collection, and the Centre Pompidou’s cache of modern and contemporary art, scores of smaller museums showcase every imaginable genre, a diverse range of venues mount major exhibitions through to offbeat installations, and there's also the city's vibrant street art."
57,Phuket,Thailand,"Jade-hued waves concealing rainbows of fish wash white-gold beaches wrapped in Phuketian heritage: Phuket (ภูเก็ต), Thailand's dazzling largest island, is so diverse you may never want to leave.
Beach Bliss
The pearly white, palm- and casuarina-fringed beaches that ring Phuket's southern and western coasts are the island's key bounty. Each beach is different, from the northwest's upmarket Surin and Ao Bang Thao (with their luxe resorts and, in Bang Thao, glossy beach clubs) to mellow, jungled Rawai on far south Phuket, or the infamous west-coast sin city of Patong, home of hangovers and go-go bars. So there's space for everyone, whether you're a backpacking couple, a luxury jetsetter, a wandering budgeteer or a travelling family on the hunt for seaside fun.
Cultural Heritage
Those tropical-island beaches are glorious, of course, but venture just a little beyond and you'll uncover astonishing Phuketian cultural riches that many visitors zip right past. East-coast capital Phuket Town delights with its eye-opening museums, Peranakan cooking, Chinese shrines and historic mansions and shophouses done in characteristic Sino-Portuguese style. Major temples stand in Chalong and Thalang, while two national parks and a smattering of wildlife sanctuaries await exploration in the island's northern reaches. Even a speedy trip up into the hills behind Kata to Big Buddha connects you to modern-day Phuket's pulse.
Underwater Wonders
Some of Thailand's most magnificent landscapes lie hidden away beneath the Andaman's glittering surface, and Phuket sits blissfully within day-tripping distance of both Ko Phi-Phi's popular dive sites and the famed, national-park-protected, impossibly beautiful Similan Islands. A wealth of local dive schools will have you strapping on a mask and communing with denizens of the deep in no time. For those who don't fancy diving straight in, snorkelling trips offer a tantalising taster, while kayaking expeditions into Ao Phang-Nga's hushed hôrng (semi-submerged island lagoons) reveal awe-inspiring seascapes of towering limestone karsts.
Fabulous Food
On Phuket, as in other regions across the Land of Smiles, Thai cuisine takes on its own distinct character. Soulful, spicy, salty southern-Thai cooking collides with Chinese and Malay flavours and influences – so you get, say, Thai-style dim sum or roti dipped in curry for breakfast, along with local culinary creations like mèe pad hokkien (stir-fried hokkien noodles in a broth), mŏo hong (pepper-and-garlic-braised pork), mèe gaang pôo (crab-meat curry with noodles) and pàk miang (scrambled spinach-like leaves). You'll also uncover a world of exquisite fusion menus, elegant international cuisine and freshly caught seafood."
58,Rhodes,Greece,"By far the largest and historically the most important of the Dodecanese islands, Rhodes (ro-dos) abounds in beaches, wooded valleys and ancient history. Whether you’re here on a culture-vulture journey through past civilisations, or simply for some laidback beach time, buzzing nightlife, or diving in crystal-clear waters, it’s all here. The atmospheric Old Town of Rhodes is a maze of cobbled streets that will spirit you back to the days of the Byzantine Empire and beyond. Further south, in the picture-perfect town of Lindos, capped by an ancient Acropolis, sugar-cube houses spill down to a turquoise bay. While both Lindos and Rhodes Old Town get very crowded in summer, Rhodes is large enough to allow plenty of room to breathe that pure Aegean air."
59,Rome,Italy,"A heady mix of haunting ruins, awe-inspiring art and vibrant street life, Italy’s hot-blooded capital is one of the world’s most romantic and charismatic cities.
Monumental History
The result of 3000 years of ad hoc urban development, Rome's cityscape is an exhilarating sight. Ancient icons such as the Colosseum, Roman Forum and Pantheon recall the city’s golden age as caput mundi (capital of the world), while monumental basilicas tell of its history as seat of the Catholic Church. Lording it over the skyline, St Peter’s Basilica towers over the Vatican, testifying to the ambition of Rome’s Renaissance popes and the genius of its game-changing architects. Elsewhere, ornate piazzas and showy fountains add a baroque flourish to the city's captivating streets.
Artistic Treasures
Few cities can rival Rome's astonishing artistic heritage. Throughout history, the city has starred in the great upheavals of Western art, drawing top artists and inspiring them to push the boundaries of creative achievement. The result is a city awash with priceless treasures. Ancient statues adorn world-class museums; Byzantine mosaics and Renaissance frescoes dazzle in art-rich churches; baroque facades flank medieval piazzas. Stroll through the centre and without even trying you’ll come across masterpieces by the titans of European art – sculptures by Michelangelo, paintings by Caravaggio, frescoes by Raphael and fountains by Bernini.
Living the Life
A trip to Rome is as much about lapping up the dolce vita lifestyle as gorging on art and culture. Idling around picturesque streets, whiling away hours at streetside cafes, people-watching on pretty piazzas – these are all central to the Roman experience. The tempo rises in the evening when fashionable drinkers descend on the city’s bars and cafes for a sociable aperitivo (drink with snacks) and trattorias hum with activity. Elsewhere, cheerful hordes mill around popular haunts before heading off to hip cocktail bars and late-night clubs.
Roman Feasting
Eating out is one of Rome's great pleasures and the combination of romantic alfresco settings and superlative food is a guarantee of good times. For contemporary fine dining and five-star wine there are any number of refined restaurants, but for a truly Roman meal head to a boisterous pizzeria or convivial neighbourhood trattoria. That's where the locals go to indulge their passion for thin, crispy pizzas, humble pasta dishes, and cool white wines from the nearby Castelli Romani hills. To finish off, what can beat a gelato followed by a shot of world-beating coffee?"
60,Salzburg,Austria,"The joke 'If it's baroque, don't fix it' is a perfect maxim for Salzburg: the story-book Altstadt (old town) burrowed below steep hills looks much as it did when Mozart lived here 250 years ago. Beside the fast-flowing Salzach River, your gaze is raised inch by inch to graceful domes and spires, the formidable clifftop fortress and the mountains beyond. It's a backdrop that did the lordly prince-archbishops and Maria proud.Beyond Salzburg’s two biggest money-spinners – Mozart and The Sound of Music – hides a city with a burgeoning arts scene, wonderful food, manicured parks, quiet side streets where classical music wafts from open windows, and concert halls that uphold musical tradition 365 days a year. Everywhere you go, the scenery, the skyline, the music and the history send your spirits soaring higher than Julie Andrews' octave-leaping vocals."
61,San-Francisco,USA,"Other cities may surprise you, but in San Francisco you will surprise yourself.
Good times and social revolutions tend to start here, from manic gold rushes to blissful hippie 'be-ins'. If there's a skateboard move yet to be busted, a technology still unimagined, a poem left unspoken or a green scheme untested, chances are it's about to happen here. Yes, right now. This town has lost almost everything in earthquakes and dot-com gambles, but never its nerve.
Food & Drink
Every available Bay Area–invented technology is needed to make dinner decisions in this city, with the most restaurants and farmers markets per capita in North America – all supplied by pioneering local organic farms. San Francisco set the gold standard for Wild West saloons, until drinking was driven underground in the 1920s with Prohibition. Today San Francisco celebrates its historic saloons and speakeasies – and with Wine Country and local distillers providing a steady supply of America's finest hooch, the West still gets wild nightly.
Natural Highs
San Francisco is a 7-by-7-mile peninsula that looks like California's thumb, pointed optimistically upwards. Take this as a hint to look up: you'll notice San Francisco's crooked Victorian rooflines, wind-sculpted treetops, and fog tumbling over the Golden Gate Bridge.
Heads are perpetually in the clouds atop San Francisco's 48 hills. Cable cars provide easy access to Russian and Nob Hills, and splendid panoramas reward the slog up to Coit Tower. Earn exhilarating highs on Telegraph Hill's garden-lined stairway walks, and windswept hikes around Lands End. If there's another kind of high you're seeking in San Francisco, that can also be arranged: marijuana is legal here for adults 18 and over with ID, and dispensaries and delivery are at your service.
Neighborhood Microclimates
Microclimates add magic realism to San Francisco days: when it's drizzling in the outer reaches of Golden Gate Park, it might be sunny in the Mission. A difference of a few degrees between neighborhoods grants permission for salted-caramel ice cream in Dolores Park, or a hasty retreat to tropical heat inside the California Academy of Sciences' rainforest dome. This town will give you goose bumps one minute, and warm you to the core the next."
62,Shanghai,China,"Shanghai: few cities in the world evoke so much history, excess, glamour, mystique and exotic promise in name alone.
Architecture
Shanghai is home to the world's second-tallest tower and a host of other neck-craning colossi. But it's not all sky-scraping razzmatazz. Beyond the crisply cool veneer of the modern city typified by Pudong, you can encounter copious architectural styles. The city's period of greatest cosmopolitan excess – the 1920s and 1930s – left the city with splendid examples of art deco buildings, most of which survived the vicissitudes of the 20th century. And there's more: from Jesuit cathedrals, Jewish synagogues and Buddhist temples to home-grown lòngtáng (laneway) and shíkùmén (stone gate) housing, Shanghai’s diverse architectural heritage is like no other city's on earth.
Cuisine
Thirty years ago, Shanghai's dour restaurant scene was all tin trays and scowling wait staff, with international food confined to ""exclusive"" hotels. Today, the seriously good restaurant scene is varied, exciting and up-to-the-minute. Shanghai got its own Michelin dining guide in 2017, proving just how far the city has come. Food is the hub of Chinese social life, and it's while eating that people catch up, celebrate and clinch business deals. Inevitably, some of your best memories here will be culinary. Do as the Shanghainese do and make a meal of it.
Shopping
Bearing in mind that Chinese shoppers constitute up to 46% of the global luxury-goods market, shopping is rarely done in half-measures in Shanghai. Retail therapy is one way of spending new money and the Shanghainese aren't called 小资 (xiǎozī – ""little capitalists"") by the rest of China for nothing, especially at the luxury end of things. But it's not all Prada, Gucci and Burberry. There are pop-up boutiques, bustling markets, cool vintage shops and young designer outlets. Beyond clothing, you're spoiled for choice, whether you're in the market for antiques, ceramics, art, jewelry… whatever is on your shopping list.
Entertainment & the Arts
Beijing often hogs the limelight as China’s cultural nexus, but for a town of wheelers and dealers, Shanghai is surprisingly creative. Many art galleries are exciting, offering a window into contemporary Chinese concerns, while nightlife options have exploded. Acrobatics shows are always a tourist favorite and you might grab the chance to catch some Chinese opera. Shanghai’s music and club scenes are vibrant: from unpretentious jazz and indie venues to all-night hip-hop and electro-dance parties, the city swings with the best of them."
63,Sofia,Bulgaria,"Bulgaria's pleasingly laid-back capital is often overlooked by visitors heading to the coast or the ski resorts, but they're missing something special. Sofia is no grand metropolis, but it's a modern, youthful city, with a scattering of onion-domed churches, Ottoman mosques and stubborn Red Army monuments that lend an eclectic, exotic feel. Excavation work carried out during construction of the metro unveiled a treasure trove of Roman ruins from nearly 2000 years ago, when the city was called 'Serdica'. Away from the buildings and boulevards, vast parks and manicured gardens offer a welcome respite, and the ski slopes and hiking trails of mighty Mt Vitosha are just a short bus ride from the centre. Home to many of Bulgaria's finest museums, galleries, restaurants and clubs, Sofia may persuade you to stick around and explore further."
64,St-Petersburg Russia,Russia,"The sheer grandeur and history of Russia's imperial capital never fail to amaze, but this is also a city with a revolutionary spirit.City of the TsarsThe creation of westward-looking Peter the Great, St Petersburg was intended from its inception as a display of imperial Russia’s growing status in the world. Fine-tuned by Peter’s successors, who employed a host of European architects to add fabulous palaces and cathedrals to the city’s layout, St Petersburg grew to be the Romanovs’ showcase capital and Russia’s first great, modern city. The capital may have moved back to Moscow following the revolution, but despite all that history has thrown at it, St Petersburg still feels every bit the imperial city with its historic heart largely frozen in time.Venice of the NorthWhether you’re cruising along the elegant canals, crossing one of the 342 bridges in the city, or just watching them being raised in summer over the mighty Neva River at night to allow ships to pass through, you’re never far from water in St Petersburg. This has earned the city unsurprising comparisons to Venice, but the similarities don’t stop there: walking around the historic centre will reveal canals lined by Italianate mansions and broken up by striking plazas adorned with baroque and neoclassical palaces. North of the city centre there are also pristine beaches fringing the Gulf of Finland.Artistic PowerhouseSt Petersburg is an almost unrivalled treasure trove of art and culture. You can spend days in the Hermitage, seeing everything from Egyptian mummies to Picassos, while the Russian Museum, spread over four sumptuous palaces, is perhaps the best collection of Russian art in the world. Add to this world-class ballet, opera and classical concerts at the illustrious performance halls, and a slew of big-name music festivals over the summer months, and you won’t be stuck for cultural nourishment. Contemporary art is also available at the fantastic Erarta Museum, the Street Art Museum and in the buzzing gallery scene.All Seasons CitySummer White Nights are legendary: the northern sun barely dips below the horizon. Revelry begins in May, with parks and gardens greening with flowering trees, and peaks in mid-June when performing arts festivals pack out concert halls and the entire city seems to party all night long. It's the busiest time to visit and the crowds can often be overwhelming. But Piter, as the city is affectionately known, is just as beautiful in early spring, golden autumn and even winter: the skies may be leaden and the ground covered in snow, but the culture still dazzles and delights."
65,Stuttgart,Germany,"Ask many Germans their opinion of Stuttgarters and they'll have plenty of things to say: they are road hogs, speeding along the autobahn; they are sharp-dressed executives with a Swabian drawl; they are tight-fisted homebodies who slave away to schaffe, schaffe, Häusle baue (work, work, build a house).So much for the stereotypes: the real Stuttgart is less superficial than legend would have it. True, some good-living locals like their cars fast and their restaurants fancy, but most are just as happy getting their boots dirty in the surrounding vine-clad hills and hanging out with friends in the rustic confines of a Weinstube (wine tavern) or a chestnut tree-shaded Biergarten. In this, the capital of Baden-Württemberg, city slickers and down-to-earth country kids walk hand in hand, with no need to compromise."
